nl,ar
de,ال
het,ال
een,واحد
en,و
ik,أنا
jij,أنت
hij,هو
zij,هي
wij,نحن
jullie,أنتم
zij (mv),هم
dit,هذا
dat,ذلك
die,تلك
wat,ماذا
waar,أين
wie,من
hoe,كيف
wanneer,متى
waarom,لماذا
welk,أي
alles,كل شيء
iets,شيء
niets,لا شيء
iedereen,الجميع
niemand,لا أحد
altijd,دائماً
nooit,أبداً
soms,أحياناً
vaak,غالباً
nu,الآن
straks,قريباً
gisteren,أمس
vandaag,اليوم
morgen,غداً
vroeg,مبكراً
laat,متأخراً
tijd,وقت
jaar,سنة
maand,شهر
week,أسبوع
dag,يوم
uur,ساعة
minuut,دقيقة
seconde,ثانية
man,رجل
vrouw,امرأة
kind,طفل
vriend,صديق
familie,عائلة
vader,أب
moeder,أم
broer,أخ
zus,أخت
zoon,ابن
dochter,ابنة
opa,جد
oma,جدة
oom,عم
tante,عمة
neef,ابن عم
nicht,ابنة عم
huis,بيت
kamer,غرفة
deur,باب
raam,نافذة
keuken,مطبخ
badkamer,حمام
slaapkamer,غرفة نوم
bed,سرير
tafel,طاولة
stoel,كرسي
bank,أريكة
vloer,أرضية
muur,جدار
plafond,سقف
lamp,مصباح
telefoon,هاتف
computer,كمبيوتر
boek,كتاب
pen,قلم
papier,ورق
school,مدرسة
universiteit,جامعة
werk,عمل
baan,وظيفة
winkel,متجر
geld,مال
prijs,سعر
euro,يورو
markt,سوق
eten,طعام
drinken,شراب
water,ماء
melk,حليب
brood,خبز
rijst,أرز
vlees,لحم
vis,سمك
groente,خضار
fruit,فاكهة
appel,تفاح
banaan,موز
sinaasappel,برتقال
tomaat,طماطم
aardappel,بطاطس
ui,بصل
knoflook,ثوم
olie,زيت
zout,ملح
suiker,سكر
thee,شاي
koffie,قهوة
bier,بيرة
wijn,نبيذ
ontbijt,فطور
lunch,غداء
avondeten,عشاء
restaurant,مطعم
menu,قائمة
bord,طبق
glas,كأس
beker,كوب
mes,سكين
vork,شوكة
